title,rank,date,artist,trend
It's Only Me - Studio Version,12,9/21/2021,Kaleb J,SAME_POSITION
Todo Nicolas Cagezinho,13,9/21/2021,Dianho,SAME_POSITION
Feel Like God,14,9/21/2021,"gazzzy, framed",SAME_POSITION
family ties (with Kendrick Lamar),15,9/21/2021,Baby Keem,SAME_POSITION
STREETSX VACATION BIBLE SCHOOL,16,9/21/2021,XXKATUSJINSUX,MOVE_UP
Life By The Sea,17,9/21/2021,"Tubbo, CG5",MOVE_DOWN
Bala Love,18,9/21/2021,"Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",MOVE_UP
Szyby,19,9/21/2021,"Diho, Alberto, Bibič, Josef Bratan",MOVE_UP
Manike Mage Hithe,20,9/21/2021,"Chamath Sangeeth, Yohani, Satheeshan",MOVE_DOWN
"Raataan Lambiyan",21,9/21/2021,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",MOVE_DOWN
Búscate Otro,22,9/21/2021,Jc La Nevula,MOVE_UP
Jugaste y Sufrí,23,9/21/2021,"Eslabon Armado, DannyLux",MOVE_DOWN
Loverboy,24,9/21/2021,A-Wall,MOVE_UP
Passinho Debochado,25,9/21/2021,Dan Ventura,MOVE_DOWN
"Ranjha",26,9/21/2021,"Jasleen Royal, B Praak",SAME_POSITION
edamame (feat. Rich Brian),27,9/21/2021,bbno$,SAME_POSITION
Belgisches Viertel,28,9/21/2021,ART,SAME_POSITION
Pepas,29,9/21/2021,Farruko,SAME_POSITION
Tell Me Something Good,30,9/21/2021,Ewan McVicar,MOVE_UP
u.,31,9/21/2021,niteboi,MOVE_UP
Hate that…,32,9/21/2021,"KEY, TAEYEON",MOVE_DOWN
Lay It Down,33,9/21/2021,Steelix,NEW_ENTRY
SKUTE BOBO,34,9/21/2021,SKUTE BOBO,MOVE_DOWN
Sem Sentimento,35,9/21/2021,"DG e Batidão Stronda, Felipe Amorim, Mc Danny",MOVE_UP
Chega E Senta - Ao Vivo,36,9/21/2021,John Amplificado,MOVE_DOWN
INDUSTRY BABY (feat. Jack Harlow),37,9/21/2021,Lil Nas X,MOVE_UP
Rei Lacoste,38,9/21/2021,"MD Chefe, DomLaike",MOVE_DOWN
September,39,9/21/2021,"Earth, Wind & Fire",NEW_ENTRY
Hurricane,40,9/21/2021,Kanye West,MOVE_DOWN
STAY (with Justin Bieber),41,9/21/2021,The Kid LAROI,MOVE_DOWN
YOK (Ee daha daha nasılsınız?),42,9/21/2021,Sura İskenderli,MOVE_DOWN
10von10,43,9/21/2021,Pajel,MOVE_DOWN
Two Moons,44,9/21/2021,BoyWithUke,NEW_ENTRY
Bahaya,45,9/21/2021,"Arsy Widianto, Tiara Andini",MOVE_DOWN
Alone With You,46,9/21/2021,Arz,MOVE_DOWN
GUY.exe,47,9/21/2021,Superfruit,MOVE_UP
Arranhão - Ao Vivo,48,9/21/2021,Henrique & Juliano,MOVE_DOWN
Amapolas,49,9/21/2021,Leo Rizzi,NEW_ENTRY
LO$ER=LO♡ER,50,9/21/2021,TOMORROW X TOGETHER,MOVE_DOWN
SAD GIRLZ LUV MONEY Remix,1,11/10/2021,Amaarae,SAME_POSITION
Bota a Mão no Chão,2,11/10/2021,"Felipe Cardoso DJ, Mc Fopi",SAME_POSITION
GHOST TOWN,3,11/10/2021,Benson Boone,SAME_POSITION
Do It To It,4,11/10/2021,"ACRAZE, Cherish",SAME_POSITION
Por Supuesto,5,11/10/2021,Marina Sena,SAME_POSITION
Notion,6,11/10/2021,The Rare Occasions,MOVE_UP
Toxic,7,11/10/2021,BoyWithUke,SAME_POSITION
Nuestra Canción,8,11/10/2021,"Monsieur Periné, Vicente Garcia",MOVE_DOWN
Ameaça,9,11/10/2021,"Paulo Pires, Mc Danny, Marcynho Sensação",SAME_POSITION
Я буду ебать,10,11/10/2021,"Moreart, IHI",SAME_POSITION
Estrelinha - Ao Vivo,12,11/10/2021,"Di Paullo & Paulino, Marília Mendonça",MOVE_UP
Profissão F0Da,13,11/10/2021,"DJ Roca, Mc Delux, MC PPS",MOVE_DOWN
all I want is you,14,11/10/2021,"Rebzyyx, hoshie star",MOVE_DOWN
I Love You So,15,11/10/2021,The Walters,MOVE_DOWN
Want me - THE OFFICIAL SONG,16,11/10/2021,Cl4pers,MOVE_DOWN
WFM,17,11/10/2021,RealestK,MOVE_DOWN
24/7,18,11/10/2021,"Celina Sharma, Harris J.",SAME_POSITION
abcdefu,19,11/10/2021,GAYLE,MOVE_UP
Easy On Me,20,11/10/2021,Adele,MOVE_DOWN
Distance Love,21,11/10/2021,"Grewal, Zehr Vibe",MOVE_DOWN
Better Days (NEIKED x Mae Muller x Polo G),22,11/10/2021,NEIKED,MOVE_DOWN
see you later (ten years),23,11/10/2021,Jenna Raine,MOVE_DOWN
Face Off,24,11/10/2021,"Tech N9ne, Joey Cool, King Iso, Dwayne Johnson",MOVE_DOWN
masquerade,25,11/10/2021,Siouxxie,MOVE_DOWN
BMW,26,11/10/2021,"Because, Leslie",SAME_POSITION
10 NUMARA,27,11/10/2021,Lvbel C5,MOVE_DOWN
Nothing,28,11/10/2021,Bruno Major,MOVE_UP
Habang Buhay,29,11/10/2021,Zack Tabudlo,MOVE_UP
Chitta,30,11/10/2021,Manan Bhardwaj,MOVE_DOWN
Runtuh,31,11/10/2021,"Feby Putri, Fiersa Besari",MOVE_UP
Todo Mundo Menos Você,32,11/10/2021,"Marília Mendonça, Maiara & Maraisa",MOVE_UP
Kina Chir,33,11/10/2021,The PropheC,MOVE_DOWN
Esqueça-Me Se For Capaz,34,11/10/2021,"Marília Mendonça, Maiara & Maraisa",MOVE_DOWN
Pagsamo,35,11/10/2021,Arthur Nery,MOVE_DOWN
Dibine Kadar,36,11/10/2021,Duman,MOVE_DOWN
"Shiddat Title Track (From ""Shiddat"")",37,11/10/2021,Manan Bhardwaj,MOVE_DOWN
Mon Amour - Remix,38,11/10/2021,"zzoilo, Aitana",SAME_POSITION
MONEY,39,11/10/2021,LISA,SAME_POSITION
23 (With Ape Drums),40,11/10/2021,Randy,SAME_POSITION
The Feels,41,11/10/2021,TWICE,SAME_POSITION
ONLY,42,11/10/2021,LeeHi,MOVE_UP
love nwantiti - Remix,43,11/10/2021,CKay,MOVE_DOWN
Amsterdam,44,11/10/2021,FLEMMING,MOVE_UP
Está Dañada,45,11/10/2021,Ivan Cornejo,MOVE_DOWN
Everyday Normal Guy 2,46,11/10/2021,Jon Lajoie,SAME_POSITION
Lost in the Fire (feat. The Weeknd),47,11/10/2021,Gesaffelstein,SAME_POSITION
Cold Heart - PNAU Remix,48,11/10/2021,"Elton John, Dua Lipa",SAME_POSITION
Altüst Olmuşum,49,11/10/2021,Mavi Gri,MOVE_UP
"Who Want Smoke??",50,11/10/2021,Nardo Wick,NEW_ENTRY
TO THE,1,12/29/2021,GoldSkull,SAME_POSITION
We Don't Talk About Bruno,2,12/29/2021,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",SAME_POSITION
Happy Death Day,3,12/29/2021,Xdinary Heroes,SAME_POSITION
Surface Pressure,4,12/29/2021,Jessica Darrow,SAME_POSITION
ELEVEN,5,12/29/2021,IVE,SAME_POSITION
"30/90 (from ""tick, tick... BOOM!"" Soundtrack from the Netflix Film)",6,12/29/2021,"Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez",MOVE_UP
Swimming Pool,7,12/29/2021,Marie Madeleine,MOVE_DOWN
I AM WOMAN,8,12/29/2021,Emmy Meli,SAME_POSITION
No se habla de Bruno,9,12/29/2021,"Carolina Gaitán - La Gaita, Mauro Castillo, Daniela Sierra, Juanse Diez, Isabel Garcés, Olga Lucía Vives, Encanto - Elenco",NEW_ENTRY
abcdefu,10,12/29/2021,GAYLE,MOVE_DOWN
Shake,11,12/29/2021,"IShowSpeed, Aura The Scientist",MOVE_DOWN
Malvadão 3,12,12/29/2021,"Xamã, Gustah, Neo Beats",MOVE_UP
Harnaś ice tea,13,12/29/2021,Gawryle,MOVE_DOWN
Fairytale of New York (feat. Kirsty MacColl),14,12/29/2021,The Pogues,MOVE_DOWN
Die For You,15,12/29/2021,"VALORANT, Grabbitz",MOVE_DOWN
Gamzedeyim Deva Bulmam,16,12/29/2021,"Dedublüman, Çağrı Çelik",MOVE_DOWN
Love Grows (Where My Rosemary Goes),17,12/29/2021,Edison Lighthouse,NEW_ENTRY
Pope Is a Rockstar,18,12/29/2021,SALES,MOVE_DOWN
MIDDLE OF THE NIGHT,19,12/29/2021,Elley Duhé,MOVE_DOWN
Kül,20,12/29/2021,"Cem Adrian, Mark Eliyahu",MOVE_DOWN
Sunroof,21,12/29/2021,"Nicky Youre, dazy",MOVE_DOWN
Sahara,22,12/29/2021,Hensonn,MOVE_DOWN
Just A Little While,23,12/29/2021,The 502s,MOVE_DOWN
Assalto Perigoso,24,12/29/2021,Melody,MOVE_DOWN
Pano,25,12/29/2021,Zack Tabudlo,MOVE_DOWN
What Else Can I Do?,26,12/29/2021,"Diane Guerrero, Stephanie Beatriz",MOVE_UP
Alien Blues,27,12/29/2021,Vundabar,MOVE_UP
Nadie Va A Pensar En Ti Mejor Que Yo,28,12/29/2021,Conjunto Rienda Real,MOVE_DOWN
"如果可以 - 電影""月老""主題曲",29,12/29/2021,WeiBird,MOVE_DOWN
La Espada,30,12/29/2021,Eternal Raijin,MOVE_DOWN
I Hate U,31,12/29/2021,SZA,MOVE_DOWN
It's Called: Freefall,32,12/29/2021,Rainbow Kitten Surprise,MOVE_DOWN
Dat heb jij gedaan,33,12/29/2021,MEAU,MOVE_DOWN
Saami Saami,34,12/29/2021,Mounika Yadav,MOVE_DOWN
Ah Canım Sevgilim - Demo,35,12/29/2021,Rei 6,MOVE_DOWN
Formosa,36,12/29/2021,"Kaio Viana, MC CJ",MOVE_DOWN
It'll Be Okay,37,12/29/2021,Shawn Mendes,MOVE_DOWN
TITAN,38,12/29/2021,Salastkbron,MOVE_UP
No Wahala,39,12/29/2021,1da Banton,MOVE_DOWN
Boho Days,40,12/29/2021,"Andrew Garfield, Robin de Jesus, Alexandra Shipp, Joshua Henry, Vanessa Hudgens",MOVE_UP
Own Brand Freestyle,41,12/29/2021,"FelixThe1st, Dreya Mac, Finch Fetti",MOVE_DOWN
Rozmazana kreska,42,12/29/2021,Kinny Zimmer,MOVE_DOWN
God Must Hate Me,43,12/29/2021,Catie Turner,MOVE_DOWN
DESIRES,44,12/29/2021,"AP Dhillon, Gurinder Gill, Various Artists",MOVE_DOWN
Ligaya,45,12/29/2021,mrld,SAME_POSITION
Mi Gata,46,12/29/2021,"Standly, El Barto",MOVE_DOWN
Takut,47,12/29/2021,Idgitaf,MOVE_DOWN
The Perfect Girl,48,12/29/2021,Mareux,MOVE_DOWN
Pandora,49,12/29/2021,"DJ Matt D, Menor MC, MC GP, Vulgo FK",MOVE_DOWN
BM (London View),50,12/29/2021,OTP,MOVE_DOWN
FVN!,1,8/7/2021,LVL1,SAME_POSITION
Diamond in the rough,2,8/7/2021,Arik Ancelin,SAME_POSITION
Not Into You,3,8/7/2021,Brooksie,SAME_POSITION
París,4,8/7/2021,Ingratax,SAME_POSITION
Mon Amour,5,8/7/2021,zzoilo,SAME_POSITION
FMRN,6,8/7/2021,Lilyisthatyou,SAME_POSITION
Bilmem Mi?,7,8/7/2021,Sefo,MOVE_UP
Everywhereigo,8,8/7/2021,Babyxsosa,MOVE_DOWN
STAY (with Justin Bieber),9,8/7/2021,The Kid LAROI,SAME_POSITION
Smells Like Teen Spirit,10,8/7/2021,Malia J,SAME_POSITION
Bezos I,11,8/7/2021,Bo Burnham,SAME_POSITION
Sen Varsın Diye,12,8/7/2021,Yüzyüzeyken Konuşuruz,SAME_POSITION
Not Around,13,8/7/2021,Nova,SAME_POSITION
Pepas,14,8/7/2021,Farruko,MOVE_UP
Bul Beni,15,8/7/2021,Ezhel,MOVE_DOWN
Here's Your Perfect,16,8/7/2021,Jamie Miller,SAME_POSITION
Beethoven,17,8/7/2021,Kenndog,SAME_POSITION
Entre Nosotros,18,8/7/2021,"Tiago PZK, LIT killah",SAME_POSITION
Matter of Time (feat. Alex Maher),19,8/7/2021,Vandelux,SAME_POSITION
"I Ciebie też, bardzo",20,8/7/2021,Męskie Granie Orkiestra 2021,SAME_POSITION
ralli,21,8/7/2021,"Lvbel C5, Batuflex",SAME_POSITION
double take,22,8/7/2021,dhruv,SAME_POSITION
Beggin',23,8/7/2021,Måneskin,SAME_POSITION
GYALIS,24,8/7/2021,Capella Grey,SAME_POSITION
Für dich (feat. ille & MABU),25,8/7/2021,"lityway, yungfijay",SAME_POSITION
Fancy Like,26,8/7/2021,Walker Hayes,SAME_POSITION
Love Tonight - Edit,27,8/7/2021,Shouse,SAME_POSITION
My Potna Dem,28,8/7/2021,$ilkMoney,SAME_POSITION
Se Joga no Passinho,29,8/7/2021,"Brisa Star, Thiago Jhonathan (TJ)",SAME_POSITION
Love Tonight - David Guetta Remix Edit,30,8/7/2021,Shouse,MOVE_UP
Volta Rapariga,31,8/7/2021,Vitinho Imperador,MOVE_DOWN
Duvet,32,8/7/2021,bôa,SAME_POSITION
Lütfen,33,8/7/2021,cakal,MOVE_UP
It's You,34,8/7/2021,Sezairi,MOVE_UP
Crazier,35,8/7/2021,Arthur Miguel,MOVE_DOWN
Pain,36,8/7/2021,PinkPantheress,MOVE_DOWN
Tiroteo - Remix,37,8/7/2021,"Marc Seguí, Rauw Alejandro, Pol Granch",MOVE_DOWN
GECELERİN DERDİ,38,8/7/2021,BEGE,MOVE_UP
Mónaco,39,8/7/2021,"LAGOS, Danny Ocean",MOVE_DOWN
As the World Caves In,40,8/7/2021,Sarah Cothran,MOVE_DOWN
FEVER,41,8/7/2021,ENHYPEN,SAME_POSITION
Loverboy,42,8/7/2021,A-Wall,MOVE_UP
in heat.,43,8/7/2021,Hentai Xander,SAME_POSITION
Volando - Remix,44,8/7/2021,"Mora, Bad Bunny, Sech",MOVE_DOWN
BALANÇA A GLOCK,45,8/7/2021,"Mc Jajau, DJ LG",MOVE_UP
rises the moon,46,8/7/2021,Liana Flores,SAME_POSITION
Passion,47,8/7/2021,PinkPantheress,MOVE_DOWN
2055,48,8/7/2021,Sleepy Hallow,MOVE_UP
Permission to Dance,49,8/7/2021,BTS,MOVE_DOWN
Woman,50,8/7/2021,Doja Cat,NEW_ENTRY
Hadal Ahbek,1,1/28/2021,Issam Alnajjar,SAME_POSITION
Camisa do Flamengo,2,1/28/2021,"MC Meno K, DJ 2L da Rocinha",SAME_POSITION
Xerecard,3,1/28/2021,"Jeff Costa, Mc Danny",SAME_POSITION
Wellerman,4,1/28/2021,The Longest Johns,SAME_POSITION
I Am (feat. Flo Milli),5,1/28/2021,"Yung Baby Tate, Slade Da Monsta",SAME_POSITION
Wildest Dreams,6,1/28/2021,Duomo,SAME_POSITION
M4,7,1/28/2021,"Teto, Matuê",SAME_POSITION
Camisa do Grêmio,8,1/28/2021,"MC Meno K, DJ Neeh",SAME_POSITION
Paparazzi,9,1/28/2021,Kim Dracula,MOVE_UP
Dünyadan Uzak,10,1/28/2021,Sakiler,MOVE_UP
Esquema Preferido,11,1/28/2021,"DJ Ivis, Tarcísio do Acordeon",MOVE_UP
Astronaut In The Ocean,12,1/28/2021,Masked Wolf,MOVE_UP
Violent,13,1/28/2021,carolesdaughter,MOVE_DOWN
Katakan Saja,14,1/28/2021,Khifnu,MOVE_DOWN
Good Days,15,1/28/2021,SZA,MOVE_UP
Rolando (Caught In The Rain),16,1/28/2021,DUSTY LOCANE,MOVE_DOWN
ROLLIN N CONTROLLIN FREESTYLE,17,1/28/2021,DUSTY LOCANE,MOVE_DOWN
Blue Jeans,18,1/28/2021,GANGGA,SAME_POSITION
2 Phút Hơn - KAIZ Remix,19,1/28/2021,Pháo,SAME_POSITION
Mi Trokita Cumbia,20,1/28/2021,Obzesion,SAME_POSITION
Pierre,21,1/28/2021,Ryn Weaver,SAME_POSITION
Buss It,22,1/28/2021,Erica Banks,SAME_POSITION
Mmmh,23,1/28/2021,KAI,SAME_POSITION
Streets,24,1/28/2021,Doja Cat,SAME_POSITION
Get on the Beers,25,1/28/2021,"Mashd N Kutcher, Dan Andrews",MOVE_UP
Bayrisch Drip,26,1/28/2021,Sääftig,MOVE_DOWN
What A Shame,27,1/28/2021,Leyla Blue,SAME_POSITION
Can You Feel My Heart,28,1/28/2021,Bring Me The Horizon,SAME_POSITION
Save Your Tears,29,1/28/2021,The Weeknd,MOVE_UP
L-Gante Rkt,30,1/28/2021,"Papu DJ, L-Gante",MOVE_DOWN
Vete Pal Carajo,31,1/28/2021,"Yan Block, Jay Wheeler, DJ Nelson",MOVE_DOWN
Weightless Part 1,32,1/28/2021,Marconi Union,MOVE_UP
Mds,33,1/28/2021,"Kawe, Mc Lele JP",MOVE_DOWN
Nega Chegando,34,1/28/2021,"O Boy da Seresta, Menor Nico",MOVE_DOWN
Strange (feat. Hillary Smith),35,1/28/2021,Kris Bowers,SAME_POSITION
Anyone,36,1/28/2021,Justin Bieber,SAME_POSITION
No Te Enamores - Remix,37,1/28/2021,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",SAME_POSITION
うっせぇわ,38,1/28/2021,Ado,SAME_POSITION
Boku no Sensou - TV Size,39,1/28/2021,Shinsei Kamattechan,SAME_POSITION
Hecha Pa' Mi,40,1/28/2021,Boza,SAME_POSITION
Beat Box 2,41,1/28/2021,"SpotemGottem, Pooh Shiesty",NEW_ENTRY
Bandido,42,1/28/2021,"Myke Towers, Juhn",MOVE_UP
Bir Sebebi Var,43,1/28/2021,İkilem,MOVE_DOWN
oops!,44,1/28/2021,Yung Gravy,MOVE_DOWN
Seni Dert Etmeler,45,1/28/2021,Madrigal,SAME_POSITION
"thank u, next",46,1/28/2021,Vitamin String Quartet,MOVE_DOWN
WITHOUT YOU,47,1/28/2021,The Kid LAROI,MOVE_DOWN
Your New Boyfriend,48,1/28/2021,Wilbur Soot,MOVE_DOWN
Meia Noite,49,1/28/2021,Tarcísio do Acordeon,MOVE_DOWN
Touch You,50,1/28/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",SAME_POSITION
Leni (Crystal Castles),1,10/25/2021,on the way to catharsis,NEW_ENTRY
see you later (ten years),2,10/25/2021,Jenna Raine,MOVE_DOWN
Por Supuesto,3,10/25/2021,Marina Sena,MOVE_UP
all I want is you,4,10/25/2021,"Rebzyyx, hoshie star",SAME_POSITION
Nuestra Canción,5,10/25/2021,"Monsieur Periné, Vicente Garcia",MOVE_UP
I Love You So,6,10/25/2021,The Walters,SAME_POSITION
Pagsamo,7,10/25/2021,Arthur Nery,NEW_ENTRY
Runtuh,8,10/25/2021,"Feby Putri, Fiersa Besari",NEW_ENTRY
Toxic,9,10/25/2021,BoyWithUke,SAME_POSITION
Я буду ебать,10,10/25/2021,"Moreart, IHI",MOVE_DOWN
Better Days (NEIKED x Mae Muller x Polo G),11,10/25/2021,NEIKED,MOVE_DOWN
Está Dañada,12,10/25/2021,Ivan Cornejo,MOVE_DOWN
masquerade,13,10/25/2021,Siouxxie,SAME_POSITION
MONEY,14,10/25/2021,LISA,MOVE_DOWN
"Shiddat Title Track (From ""Shiddat"")",15,10/25/2021,Manan Bhardwaj,SAME_POSITION
Pink Soldiers,16,10/25/2021,23,MOVE_DOWN
Notion,17,10/25/2021,The Rare Occasions,MOVE_DOWN
love nwantiti - Remix,18,10/25/2021,CKay,MOVE_DOWN
The Red Means I Love You,19,10/25/2021,Madds Buckley,MOVE_DOWN
Amsterdam,20,10/25/2021,FLEMMING,SAME_POSITION
Do It To It,21,10/25/2021,"ACRAZE, Cherish",MOVE_DOWN
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",22,10/25/2021,Skylar Grey,NEW_ENTRY
Szafir,23,10/25/2021,"Mata, Trooh Hippi",NEW_ENTRY
Quanto ti vorrei,24,10/25/2021,"chiello, Shablo",SAME_POSITION
love nwantiti (ah ah ah),25,10/25/2021,CKay,MOVE_DOWN
Coração Cachorro,26,10/25/2021,"Avine Vinny, Matheus Fernandes",MOVE_UP
Baba,27,10/25/2021,"Ayaz Erdoğan, Mengelez",MOVE_UP
The Feels,28,10/25/2021,TWICE,NEW_ENTRY
"Trava na Pose, Chama no Zoom, Dá um Close",29,10/25/2021,"DJ Patrick Muniz, Dj Olliver, Mc Topre",NEW_ENTRY
ONLY,30,10/25/2021,LeeHi,MOVE_DOWN
lutang,31,10/25/2021,jikamarie,MOVE_DOWN
My Universe,32,10/25/2021,"Coldplay, BTS",MOVE_DOWN
Somebody's Watching Me,33,10/25/2021,Rockwell,SAME_POSITION
Niemals Allein,34,10/25/2021,SOPHIA,MOVE_DOWN
Disaster,35,10/25/2021,KSLV Noh,MOVE_DOWN
Meet Me At Our Spot,36,10/25/2021,"THE ANXIETY, WILLOW, Tyler Cole",MOVE_DOWN
lemme land?,37,10/25/2021,"Canking, Ess2Mad",MOVE_DOWN
In My Mind,38,10/25/2021,Lyn Lapid,MOVE_DOWN
Cold Heart - PNAU Remix,39,10/25/2021,"Elton John, Dua Lipa",MOVE_DOWN
Putariazinha,40,10/25/2021,Felipe Amorim,MOVE_DOWN
"Honey, Cy",41,10/25/2021,"DJ Smuddpurpp, Romane Gila",NEW_ENTRY
Two Moons,42,10/25/2021,BoyWithUke,MOVE_DOWN
23 (With Ape Drums),43,10/25/2021,Randy,MOVE_UP
Close Eyes,44,10/25/2021,DVRST,MOVE_DOWN
Eleanor Rigby,45,10/25/2021,Cody Fry,SAME_POSITION
Something About You,46,10/25/2021,"Eyedress, Dent May",MOVE_DOWN
Vreemde Voor Mij,47,10/25/2021,"Sigourney K, Sevn Alias",NEW_ENTRY
Romantic Sunday,48,10/25/2021,"Car, the garden",MOVE_DOWN
this is what falling in love feels like,49,10/25/2021,JVKE,MOVE_DOWN
nada contra (ciúme),50,10/25/2021,Clarissa,MOVE_DOWN
TO THE,1,12/30/2021,GoldSkull,SAME_POSITION
We Don't Talk About Bruno,2,12/30/2021,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",SAME_POSITION
Happy Death Day,3,12/30/2021,Xdinary Heroes,SAME_POSITION
Surface Pressure,4,12/30/2021,Jessica Darrow,SAME_POSITION
Down Under (feat. Colin Hay),5,12/30/2021,Luude,NEW_ENTRY
No se habla de Bruno,6,12/30/2021,"Carolina Gaitán - La Gaita, Mauro Castillo, Daniela Sierra, Juanse Diez, Isabel Garcés, Olga Lucía Vives, Encanto - Elenco",MOVE_UP
"30/90 (from ""tick, tick... BOOM!"" Soundtrack from the Netflix Film)",7,12/30/2021,"Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez",MOVE_DOWN
ELEVEN,8,12/30/2021,IVE,MOVE_DOWN
Swimming Pool,9,12/30/2021,Marie Madeleine,MOVE_DOWN
Love Grows (Where My Rosemary Goes),10,12/30/2021,Edison Lighthouse,MOVE_UP
I AM WOMAN,11,12/30/2021,Emmy Meli,MOVE_DOWN
abcdefu,12,12/30/2021,GAYLE,MOVE_DOWN
Shake,13,12/30/2021,"IShowSpeed, Aura The Scientist",MOVE_DOWN
Malvadão 3,14,12/30/2021,"Xamã, Gustah, Neo Beats",MOVE_DOWN
Harnaś ice tea,15,12/30/2021,Gawryle,MOVE_DOWN
Die For You,16,12/30/2021,"VALORANT, Grabbitz",MOVE_DOWN
Gamzedeyim Deva Bulmam,17,12/30/2021,"Dedublüman, Çağrı Çelik",MOVE_DOWN
MIDDLE OF THE NIGHT,18,12/30/2021,Elley Duhé,MOVE_UP
Kül,19,12/30/2021,"Cem Adrian, Mark Eliyahu",MOVE_UP
Pope Is a Rockstar,20,12/30/2021,SALES,MOVE_DOWN
Fairytale of New York (feat. Kirsty MacColl),21,12/30/2021,The Pogues,MOVE_DOWN
Sunroof,22,12/30/2021,"Nicky Youre, dazy",MOVE_DOWN
Sahara,23,12/30/2021,Hensonn,MOVE_DOWN
Just A Little While,24,12/30/2021,The 502s,MOVE_DOWN
What Else Can I Do?,25,12/30/2021,"Diane Guerrero, Stephanie Beatriz",MOVE_UP
Assalto Perigoso,26,12/30/2021,Melody,MOVE_DOWN
Alien Blues,27,12/30/2021,Vundabar,SAME_POSITION
"如果可以 - 電影""月老""主題曲",28,12/30/2021,WeiBird,MOVE_UP
Pano,29,12/30/2021,Zack Tabudlo,MOVE_DOWN
Nadie Va A Pensar En Ti Mejor Que Yo,30,12/30/2021,Conjunto Rienda Real,MOVE_DOWN
La Espada,31,12/30/2021,Eternal Raijin,MOVE_DOWN
Saami Saami,32,12/30/2021,Mounika Yadav,MOVE_UP
I Hate U,33,12/30/2021,SZA,MOVE_DOWN
It's Called: Freefall,34,12/30/2021,Rainbow Kitten Surprise,MOVE_DOWN
Dat heb jij gedaan,35,12/30/2021,MEAU,MOVE_DOWN
Boho Days,36,12/30/2021,"Andrew Garfield, Robin de Jesus, Alexandra Shipp, Joshua Henry, Vanessa Hudgens",MOVE_UP
Ah Canım Sevgilim - Demo,37,12/30/2021,Rei 6,MOVE_DOWN
Formosa,38,12/30/2021,"Kaio Viana, MC CJ",MOVE_DOWN
It'll Be Okay,39,12/30/2021,Shawn Mendes,MOVE_DOWN
Material Girl,40,12/30/2021,Saucy Santana,NEW_ENTRY
TITAN,41,12/30/2021,Salastkbron,MOVE_DOWN
No Wahala,42,12/30/2021,1da Banton,MOVE_DOWN
God Must Hate Me,43,12/30/2021,Catie Turner,SAME_POSITION
DESIRES,44,12/30/2021,"AP Dhillon, Gurinder Gill, Various Artists",SAME_POSITION
Own Brand Freestyle,45,12/30/2021,"FelixThe1st, Dreya Mac, Finch Fetti",MOVE_DOWN
Rozmazana kreska,46,12/30/2021,Kinny Zimmer,MOVE_DOWN
Ligaya,47,12/30/2021,mrld,MOVE_DOWN
BM (London View),48,12/30/2021,OTP,MOVE_UP
The Family Madrigal,49,12/30/2021,"Stephanie Beatriz, Olga Merediz, Encanto - Cast",NEW_ENTRY
We Rollin,50,12/30/2021,Shubh,NEW_ENTRY
FVN!,1,8/8/2021,LVL1,SAME_POSITION
Diamond in the rough,2,8/8/2021,Arik Ancelin,SAME_POSITION
Not Into You,3,8/8/2021,Brooksie,SAME_POSITION
París,4,8/8/2021,Ingratax,SAME_POSITION
Mon Amour,5,8/8/2021,zzoilo,SAME_POSITION
Bilmem Mi?,6,8/8/2021,Sefo,MOVE_UP
FMRN,7,8/8/2021,Lilyisthatyou,MOVE_DOWN
STAY (with Justin Bieber),8,8/8/2021,The Kid LAROI,MOVE_UP
Everywhereigo,9,8/8/2021,Babyxsosa,MOVE_DOWN
Smells Like Teen Spirit,10,8/8/2021,Malia J,SAME_POSITION
Not Around,11,8/8/2021,Nova,MOVE_UP
Sen Varsın Diye,12,8/8/2021,Yüzyüzeyken Konuşuruz,SAME_POSITION
Bezos I,13,8/8/2021,Bo Burnham,MOVE_DOWN
Pepas,14,8/8/2021,Farruko,SAME_POSITION
Here's Your Perfect,15,8/8/2021,Jamie Miller,MOVE_UP
Bul Beni,16,8/8/2021,Ezhel,MOVE_DOWN
Beethoven,17,8/8/2021,Kenndog,SAME_POSITION
Entre Nosotros,18,8/8/2021,"Tiago PZK, LIT killah",SAME_POSITION
"I Ciebie też, bardzo",19,8/8/2021,Męskie Granie Orkiestra 2021,MOVE_UP
ralli,20,8/8/2021,"Lvbel C5, Batuflex",MOVE_UP
double take,21,8/8/2021,dhruv,MOVE_UP
Beggin',22,8/8/2021,Måneskin,MOVE_UP
