title,rank,date,artist,trend
Amor ou o Litrão,23,1/2/2021,"Petter Ferraz, Menor Nico",MOVE_DOWN
Doomsday,24,1/2/2021,"MF DOOM, Pebbles The Invisible Girl",MOVE_UP
Bertaut,25,1/2/2021,Nadin Amizah,MOVE_DOWN
Si Me Tomo Una Cerveza,26,1/2/2021,"Migrantes, Alico",MOVE_DOWN
Whoopty,27,1/2/2021,CJ,SAME_POSITION
廻廻奇譚,28,1/2/2021,Eve,MOVE_DOWN
ALÔ AMBEV - funk remix,29,1/2/2021,DJ Lucas Beat,MOVE_UP
At My Worst,30,1/2/2021,Pink Sweat$,MOVE_DOWN
All Caps,31,1/2/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Seni Dert Etmeler,32,1/2/2021,Madrigal,MOVE_DOWN
"25 É Natal, 31 É Ano Novo (feat. MC GW)",33,1/2/2021,"Barca Na Batida, Luanzinho do Recife",MOVE_DOWN
Makina,34,1/2/2021,UZI,MOVE_DOWN
Accordion,35,1/2/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Rapp Snitch Knishes,36,1/2/2021,"MF DOOM, Mr Fantastik",NEW_ENTRY
Rät,37,1/2/2021,Penelope Scott,MOVE_DOWN
Kusura Bakma,38,1/2/2021,Tuğkan,MOVE_DOWN
Nuages ​​Creux,39,1/2/2021,Lydia Baskow Trio,MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,40,1/2/2021,"CORPSE, Savage Ga$p",MOVE_DOWN
Mungkin Hari Ini Esok Atau Nanti,41,1/2/2021,Anneth,MOVE_DOWN
ıslak kum,42,1/2/2021,Contra,MOVE_DOWN
Jenny (I Wanna Ruin Our Friendship),43,1/2/2021,Studio Killers,MOVE_DOWN
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",44,1/2/2021,"Bizarrap, Nathy Peluso",MOVE_DOWN
Let Me In (20 CUBE),45,1/2/2021,ENHYPEN,NEW_ENTRY
Dance With You,46,1/2/2021,"Skusta Clee, Yuridope",MOVE_DOWN
LOST IN PARADISE,47,1/2/2021,"ALI, AKLO",MOVE_DOWN
